,PH,Solids,Turbidity,Potability
933,1.1,7681,2.3,0
934,0.5,7210,1.69,0
935,6.0,7511,1.43,0
936,3.4,7008,3.74,0
937,3.1,8562,2.53,0
938,1.4,15682,0.18,0
939,2.4,15508,2.64,0
940,5.0,15536,1.99,0
941,1.4,14337,0.87,0
942,2.8,14246,3.58,0
943,5.4,802,2.08,0
944,0.4,11305,3.87,0
945,3.6,19319,0.6,0
946,4.1,666,2.52,0
947,1.7,18570,1.34,0
948,4.1,18659,2.13,0
949,5.9,5077,1.66,0
950,4.1,18901,1.99,0
951,6.2,8013,2.27,0
952,2.5,19256,4.01,0
953,6.1,13699,2.45,0
954,0.4,8567,4.19,0
955,5.0,9803,0.34,0
956,0.7,383,2.54,0
957,1.1,11832,2.87,0
958,2.0,13407,3.49,0
959,4.1,4693,2.92,0
960,4.5,9124,3.64,0
961,4.5,7644,2.94,0
962,2.9,10273,3.98,0
963,2.7,1901,3.19,0
964,0.4,10532,0.44,0
965,3.9,7406,4.0,0
966,5.2,17975,0.75,0
967,0.4,2105,1.24,0
968,2.0,18316,0.74,0
969,3.9,9646,3.96,0
970,4.5,12444,0.28,0
971,5.8,13666,1.15,0
972,1.9,17868,2.95,0
973,4.5,7675,2.03,0
974,4.8,3788,1.1,0
975,2.1,5832,2.43,0
976,5.8,1022,2.58,0
977,1.9,14050,0.82,0
978,5.6,15721,2.78,0
979,1.7,16757,1.89,0
980,3.9,4040,1.32,0
981,1.5,16227,2.57,0
982,4.4,15717,3.31,0
983,6.0,2124,0.7,0
984,5.6,7740,2.47,0
985,2.1,844,3.36,0
986,4.3,16054,2.72,0
987,4.6,9297,2.67,0
988,5.2,17535,1.43,0
989,1.4,19339,2.55,0
990,2.7,17944,3.2,0
991,1.3,19511,1.86,0
992,1.8,18907,2.02,0
993,0.9,2668,3.69,0
994,0.3,1112,3.99,0
995,5.7,16567,1.89,0
996,5.9,2476,3.02,0
997,4.7,7546,3.56,0
998,1.6,17687,1.46,0
999,2.3,16162,3.84,0
1000,1.8,3666,0.82,0
1001,0.8,5991,1.73,0
1002,2.5,9472,3.99,0
1003,5.7,16799,2.77,0
1004,4.9,19222,3.86,0
1005,2.3,2476,1.97,0
1006,3.2,15042,0.38,0
1007,1.7,14290,3.03,0
1008,1.1,12171,0.02,0
1009,2.5,11297,0.63,0
1010,1.7,15565,3.34,0
1011,2.5,3590,1.03,0
1012,1.1,8138,0.08,0
1013,6.3,4032,0.27,0
1014,5.1,7684,2.13,0
1015,0.7,9857,1.85,0
1016,5.7,3501,3.34,0
1017,2.6,4936,2.0,0
1018,4.4,577,3.21,0
1019,4.4,15404,1.46,0
1020,2.4,17600,1.56,0
1021,4.0,3679,1.41,0
1022,6.0,1902,1.83,0
1023,4.6,2656,0.89,0
1024,6.1,11541,2.16,0
1025,2.6,4916,0.4,0
1026,5.5,17002,0.47,0
1027,4.4,1324,3.2,0
1028,0.8,5066,1.81,0
1029,6.0,16173,2.96,0
1030,0.7,1645,2.32,0
1031,5.5,15894,4.02,0
1032,5.3,17308,3.61,0
1033,1.6,9229,3.88,0
1034,2.2,3258,2.05,0
1035,0.2,19474,0.89,0
1036,4.4,5055,2.27,0
1037,1.3,3627,1.5,0
1038,2.7,2786,0.6,0
1039,4.2,2092,1.49,0
1040,0.8,17691,2.52,0
1041,2.8,19419,3.2,0
1042,2.2,3403,0.1,0
1043,3.9,10080,0.21,0
1044,2.1,4065,1.18,0
1045,3.8,17626,2.0,0
1046,4.9,1979,1.8,0
1047,3.3,6996,2.85,0
1048,2.5,14709,1.54,0
1049,5.9,14333,1.91,0
1050,3.3,9777,2.0,0
1051,0.2,6685,1.98,0
1052,5.3,12137,3.94,0
1053,0.5,4646,2.51,0
1054,1.1,11326,0.48,0
1055,2.9,18682,3.0,0
1056,0.6,11282,4.17,0
1057,4.8,15340,2.35,0
1058,4.9,19472,0.06,0
1059,5.2,17297,0.07,0
1060,2.1,2812,0.47,0
1061,4.0,9083,2.23,0
1062,1.9,1846,1.31,0
1063,0.2,9122,2.11,0
1064,3.4,9312,1.86,0
1065,1.0,12477,1.82,0
1066,1.0,13064,3.55,0
1067,3.8,10449,0.46,0
1068,2.4,5606,0.64,0
1069,0.5,4548,1.62,0
1070,1.4,7841,3.72,0
1071,2.8,3458,3.92,0
1072,6.1,16659,2.86,0
1073,3.4,2755,0.32,0
1074,5.0,14082,2.47,0
1075,0.1,2846,2.01,0
1076,1.2,17246,0.05,0
1077,2.1,9490,1.78,0
1078,1.2,13254,2.89,0
1079,6.3,10732,2.18,0
1080,0.1,9157,3.61,0
1081,1.7,1867,2.08,0
1082,2.4,15196,1.02,0
1083,0.4,1324,1.08,0
1084,0.2,207,1.83,0
1085,4.4,15085,2.25,0
1086,0.6,1990,4.08,0
1087,0.6,2396,2.91,0
1088,4.7,18234,1.27,0
1089,4.2,16369,2.81,0
1090,2.6,13547,4.12,0
1091,3.2,16038,1.29,0
1092,0.5,17720,3.79,0
1093,3.7,7347,0.02,0
1094,2.6,8687,3.32,0
1095,6.2,3640,3.75,0
1096,4.5,11066,2.66,0
1097,3.7,19636,2.21,0
1098,4.8,13005,4.05,0
1099,3.0,18550,0.49,0
1100,1.6,16691,2.56,0
1101,0.0,4887,4.03,0
1102,0.6,3525,1.14,0
1103,3.6,13181,1.71,0
1104,1.0,5952,0.96,0
1105,3.0,12832,2.17,0
1106,0.8,5713,0.66,0
1107,5.0,8725,1.19,0
1108,4.3,11900,0.49,0
1109,2.6,12147,3.04,0
1110,4.0,14218,3.89,0
1111,3.6,2496,2.08,0
1112,2.5,10210,3.93,0
1113,5.8,18575,1.95,0
1114,0.4,3553,2.57,0
1115,3.9,9829,0.08,0
1116,4.7,15761,2.33,0
1117,3.5,11107,0.05,0
1118,0.2,2947,2.17,0
1119,6.4,14227,3.2,0
1120,2.5,5119,3.89,0
1121,2.2,8194,2.5,0
1122,0.1,7817,2.83,0
1123,6.3,14869,0.31,0
1124,4.6,16419,3.58,0
1125,0.6,3911,1.89,0
1126,1.2,8547,2.97,0
1127,3.3,8194,0.0,0
1128,2.4,16726,3.77,0
1129,3.9,9361,1.29,0
1130,0.3,17010,0.96,0
1131,3.4,19192,2.71,0
1132,5.4,8776,0.69,0
1133,3.7,6002,0.97,0
1134,6.4,14830,1.72,0
1135,3.8,17654,0.64,0
1136,3.6,3839,2.68,0
1137,0.0,6316,2.33,0
1138,2.8,12396,2.22,0
1139,3.4,19199,1.77,0
1140,6.2,2126,1.15,0
1141,4.4,19702,0.76,0
1142,4.9,1914,0.35,0
1143,4.8,17001,2.67,0
1144,2.3,1573,2.39,0
1145,5.3,264,3.9,0
1146,5.5,7825,3.44,0
1147,1.3,2755,0.61,0
1148,0.2,19438,3.49,0
1149,4.4,5879,3.62,0
1150,4.2,15053,1.77,0
1151,0.8,7891,0.28,0
1152,5.3,5338,2.11,0
1153,5.9,17081,2.47,0
1154,5.1,16348,1.0,0
1155,1.5,1738,0.59,0
1156,1.4,18034,3.27,0
1157,6.4,3410,3.7,0
1158,5.4,6377,1.73,0
1159,0.9,18235,0.25,0
1160,5.3,9137,3.86,0
1161,0.4,9933,0.97,0
1162,0.5,16500,2.63,0
1163,0.2,17259,4.0,0
1164,0.9,9416,1.73,0
1165,4.7,3129,2.22,0
1166,4.5,16889,2.38,0
1167,2.7,3146,1.35,0
1168,0.0,276,0.12,0
1169,1.1,6179,1.79,0
1170,6.2,19482,0.21,0
1171,0.3,9005,2.91,0
1172,0.0,9638,0.5,0
1173,3.5,18332,2.52,0
1174,5.6,2687,1.85,0
1175,6.2,4566,1.87,0
1176,5.6,3964,0.97,0
1177,4.2,18001,2.01,0
1178,5.8,12831,3.76,0
1179,2.7,8898,1.09,0
1180,2.0,11987,0.18,0
1181,6.4,16462,2.91,0
1182,2.8,13670,3.0,0
1183,0.1,7909,0.06,0
1184,4.8,8691,1.22,0
1185,0.1,6476,1.55,0
1186,6.0,13059,2.67,0
1187,4.3,4431,1.01,0
1188,1.4,18136,0.77,0
1189,4.2,12196,4.02,0
1190,3.3,3338,0.76,0
1191,3.3,7524,0.99,0
1192,4.1,11677,2.55,0
1193,2.4,8180,2.59,0
1194,4.7,17598,3.24,0
1195,2.9,17688,3.73,0
1196,2.8,19527,3.35,0
1197,1.2,17643,1.96,0
1198,5.0,15689,1.05,0
1199,6.2,17272,2.93,0
1200,1.5,13742,3.07,0
1201,2.7,11754,0.39,0
1202,0.5,5708,0.04,0
1203,6.0,15888,2.01,0
1204,4.4,3780,3.67,0
1205,0.8,12979,2.3,0
1206,2.9,3600,1.6,0
1207,0.6,11464,1.47,0
1208,0.6,15699,1.78,0
1209,6.1,9419,2.31,0
1210,3.4,17268,0.37,0
1211,5.9,14194,3.36,0
1212,0.0,17801,2.39,0
1213,3.2,2696,3.65,0
1214,4.5,6532,3.39,0
1215,2.0,5782,1.95,0
1216,2.2,864,1.93,0
1217,0.2,1718,3.49,0
1218,0.2,7911,3.4,0
1219,6.4,19170,1.24,0
1220,6.3,16307,3.05,0
1221,2.7,14968,0.78,0
1222,6.3,12381,2.97,0
1223,3.1,1959,3.07,0
1224,1.9,3757,0.16,0
1225,4.1,2015,3.89,0
1226,4.3,1583,0.91,0
1227,3.9,4142,1.38,0
1228,4.4,7153,2.78,0
1229,3.1,8352,3.99,0
1230,0.0,15169,1.98,0
1231,1.1,6768,2.05,0
1232,5.0,1389,2.49,0
1233,4.6,16346,0.57,0
1234,3.3,1361,3.71,0
1235,4.7,9191,2.65,0
1236,5.9,13601,3.11,0
1237,1.1,14565,0.02,0
1238,1.9,5785,1.04,0
1239,4.3,4206,3.41,0
1240,2.9,4106,1.2,0
1241,2.9,19450,0.32,0
1242,1.8,12260,1.85,0
1243,2.3,7732,2.4,0
1244,3.0,17784,2.51,0
1245,2.7,14776,2.91,0
1246,1.9,18723,2.11,0
1247,2.9,5813,2.0,0
1248,1.7,6372,3.14,0
1249,3.8,2035,1.29,0
1250,11.1,12982,3.37,0
1251,11.2,525,1.62,0
1252,9.8,16634,1.72,0
1253,13.7,537,1.85,0
1254,10.3,10771,0.17,0
1255,13.3,16909,0.6,0
1256,12.9,16527,0.64,0
1257,10.2,17315,3.45,0
1258,11.6,3425,3.23,0
1259,13.5,4377,0.48,0
1260,8.9,7151,4.18,0
1261,10.5,14280,0.53,0
1262,13.7,2335,3.82,0
1263,8.6,13089,1.93,0
1264,11.0,3361,3.62,0
1265,9.6,16445,1.8,0
1266,13.8,2280,1.67,0
1267,8.5,7636,3.89,0
1268,11.4,18732,3.88,0
1269,11.1,18091,0.87,0
1270,9.6,18355,2.36,0
1271,9.7,16538,0.23,0
1272,12.7,18027,2.72,0
1273,12.1,10858,2.81,0
1274,9.9,15391,0.53,0
1275,12.4,8178,1.5,0
1276,10.0,7305,0.99,0
1277,9.7,19152,1.94,0
1278,12.7,14793,2.5,0
1279,13.7,16339,3.33,0
1280,11.2,2565,2.71,0
1281,12.4,6288,2.67,0
1282,12.5,6493,2.67,0
1283,9.5,12503,3.85,0
1284,8.5,7158,2.84,0
1285,11.1,7304,4.05,0
1286,8.8,19610,1.69,0
1287,13.1,19989,1.29,0
1288,9.5,7777,3.79,0
1289,10.5,17901,3.18,0
1290,11.6,7885,1.03,0
1291,11.1,19742,3.48,0
1292,10.1,3320,0.58,0
1293,10.6,1323,1.17,0
1294,10.1,15334,0.8,0
1295,8.8,14884,3.62,0
1296,12.2,1658,1.63,0
1297,10.6,17921,2.08,0
1298,12.6,4196,4.19,0
1299,8.9,6657,1.13,0
1300,11.4,4543,1.87,0
1301,10.8,5414,0.54,0
1302,10.2,4566,0.66,0
1303,10.5,3092,1.6,0
1304,10.1,3013,0.52,0
1305,13.2,9213,1.19,0
1306,13.8,8638,2.66,0
1307,12.3,18367,1.88,0
1308,11.9,15316,0.38,0
1309,12.6,3094,0.13,0
1310,9.4,6505,1.97,0
1311,12.8,17532,3.73,0
1312,12.2,18640,1.58,0
1313,13.8,1004,1.35,0
1314,13.9,12779,4.03,0
1315,11.5,9697,1.36,0
1316,11.0,6311,3.73,0
1317,12.6,4977,1.17,0
1318,12.1,2707,1.38,0
1319,9.3,3864,3.33,0
1320,12.3,4319,1.2,0
1321,12.5,4166,2.43,0
1322,9.5,2903,3.13,0
1323,13.7,7831,2.1,0
1324,8.6,2108,4.19,0
1325,11.2,6395,3.1,0
1326,10.3,15059,0.34,0
1327,13.6,6858,1.96,0
1328,8.9,18061,3.86,0
1329,11.0,18522,0.55,0
1330,10.9,17374,0.27,0
1331,10.3,9235,0.47,0
1332,9.5,9524,2.06,0
1333,10.9,14856,3.18,0
1334,11.2,18157,2.6,0
1335,10.4,10155,2.54,0
1336,13.8,15564,2.79,0
1337,13.3,4106,2.57,0
1338,10.0,2059,2.7,0
1339,11.4,10908,1.07,0
1340,10.6,2991,2.44,0
1341,9.4,4854,3.93,0
1342,12.4,8445,2.2,0
1343,8.8,14758,2.72,0
1344,10.7,19993,2.84,0
1345,12.7,13659,1.43,0
1346,10.9,7120,1.95,0
1347,10.9,3615,0.55,0
1348,12.9,19796,0.15,0
1349,11.9,17093,1.98,0
1350,12.5,19014,1.83,0
1351,10.3,4083,2.66,0
1352,8.9,19628,2.12,0
1353,11.7,11948,2.43,0
1354,11.0,19646,4.02,0
1355,12.2,979,2.23,0
1356,11.2,2603,3.03,0
1357,10.5,17426,2.14,0
1358,12.7,2097,1.26,0
1359,11.5,15693,0.81,0
1360,12.4,11219,1.63,0
1361,13.8,5885,3.73,0
1362,12.9,8189,1.96,0
1363,9.1,936,2.88,0
1364,13.6,14569,0.41,0
1365,12.8,6909,2.06,0
1366,8.9,5486,1.34,0
1367,12.6,16880,1.62,0
1368,12.9,12909,0.35,0
1369,8.7,3517,3.51,0
1370,9.7,14841,1.07,0
1371,10.8,10598,3.74,0
1372,9.5,9020,2.25,0
1373,12.4,12742,3.06,0
1374,9.6,3561,3.19,0
1375,11.4,1475,1.06,0
1376,9.8,12639,0.76,0
1377,10.7,12291,3.72,0
1378,10.0,9759,2.47,0
1379,12.4,10178,0.28,0
1380,12.4,5679,1.55,0
1381,9.3,14462,2.96,0
1382,13.2,18540,3.53,0
1383,8.8,10851,0.09,0
1384,13.8,16419,3.37,0
1385,9.5,12949,3.25,0
1386,8.8,18702,1.27,0
1387,13.1,17869,3.89,0
1388,8.6,17871,1.18,0
1389,11.1,7765,3.65,0
1390,10.5,13833,2.12,0
1391,11.7,3605,2.91,0
1392,10.8,7540,0.53,0
1393,9.2,5635,0.96,0
1394,9.6,930,0.31,0
1395,11.9,10977,3.79,0
1396,9.8,16946,1.56,0
1397,13.7,12146,1.02,0
1398,12.3,4991,1.71,0
1399,12.1,5627,3.42,0
1400,9.0,14448,3.36,0
1401,11.6,8712,3.56,0
1402,12.8,366,2.5,0
1403,12.9,6273,3.86,0
1404,13.3,4224,2.36,0
1405,13.7,4156,2.35,0
1406,9.3,4226,3.6,0
1407,10.5,13010,1.57,0
1408,11.7,424,0.28,0
1409,12.3,1353,0.56,0
1410,9.3,3609,3.13,0
1411,12.6,17778,3.39,0
1412,9.7,19273,2.52,0
1413,9.8,3377,1.32,0
1414,13.8,9402,3.4,0
1415,12.9,9884,1.31,0
1416,12.4,10485,1.85,0
1417,11.7,12142,2.46,0
1418,8.8,4693,2.99,0
1419,10.7,7541,2.99,0
1420,12.1,11264,1.34,0
1421,12.4,7083,0.75,0
1422,10.5,14895,1.19,0
1423,8.7,2741,2.56,0
1424,9.1,7960,1.81,0
1425,12.5,18965,2.15,0
1426,13.9,7807,0.26,0
1427,9.3,3574,3.73,0
1428,8.7,16065,1.69,0
1429,9.6,5315,1.33,0
1430,13.8,19793,2.53,0
1431,10.4,8364,0.86,0
1432,11.3,3226,3.04,0
1433,10.0,19066,3.97,0
1434,13.5,5547,1.53,0
1435,13.4,5679,4.0,0
1436,10.8,19927,2.12,0
1437,9.9,17670,0.68,0
1438,13.8,579,1.34,0
1439,12.4,4183,1.3,0
1440,9.1,18190,4.0,0
1441,10.1,6340,0.66,0
1442,13.3,3393,1.05,0
1443,8.5,556,3.33,0
1444,10.7,12672,0.8,0
1445,8.7,14648,4.13,0
1446,9.9,17292,2.71,0
1447,11.1,8789,3.79,0
1448,10.6,4361,2.03,0
1449,10.7,12574,2.63,0
1450,13.3,4987,2.87,0
1451,10.1,2635,1.3,0
1452,9.7,19868,0.02,0
1453,13.8,2774,0.91,0
1454,9.6,15548,0.22,0
1455,10.1,12062,0.86,0
1456,11.2,4336,3.4,0
1457,12.1,12364,0.86,0
1458,9.5,2549,2.38,0
1459,10.0,14250,2.82,0
1460,11.3,9249,2.87,0
1461,9.6,7488,1.7,0
1462,10.6,14139,4.04,0
1463,9.9,2803,0.29,0
1464,12.5,12614,1.37,0
1465,13.2,17068,0.17,0
1466,9.4,9003,0.79,0
1467,12.9,7806,1.37,0
1468,12.4,6931,1.36,0
1469,11.8,5701,3.44,0
1470,12.1,17024,0.12,0
1471,9.1,11552,3.04,0
1472,12.9,4079,2.11,0
1473,11.6,13913,2.34,0
1474,9.2,2091,0.21,0
1475,10.1,11802,3.47,0
1476,12.0,9822,0.37,0
1477,13.2,1916,0.44,0
1478,13.6,5734,0.5,0
1479,10.2,16635,1.1,0
1480,12.7,10084,1.17,0
1481,13.8,9597,2.22,0
1482,10.1,5830,0.05,0
1483,11.7,2527,1.72,0
1484,12.6,10392,1.41,0
1485,8.5,11504,1.34,0
1486,8.7,8551,0.64,0
1487,10.4,3583,0.39,0
1488,10.0,3812,3.88,0
1489,11.5,4692,0.93,0
1490,13.5,360,3.15,0
1491,13.7,7144,3.35,0
1492,8.6,15607,1.43,0
1493,13.4,822,0.86,0
1494,10.4,18248,1.53,0
1495,9.6,6787,1.08,0
1496,12.3,12368,0.6,0
1497,8.7,8955,2.55,0
1498,12.1,6321,1.51,0
1499,12.0,1600,1.55,0
1500,10.5,5108,0.45,0
1501,13.2,17195,2.6,0
1502,10.4,6675,2.72,0
1503,11.0,5820,2.16,0
1504,11.5,7086,3.63,0
1505,12.2,7864,1.9,0
1506,8.5,3041,3.29,0
1507,11.9,13018,4.04,0
1508,12.4,614,2.51,0
1509,9.7,9793,1.82,0
1510,13.6,13195,3.47,0
1511,12.2,11236,4.08,0
1512,9.8,6981,0.84,0
1513,11.8,13422,0.44,0
1514,11.3,14560,3.0,0
1515,10.1,4454,2.18,0
1516,10.8,13803,1.8,0
1517,10.7,7587,3.11,0
1518,8.5,11678,1.5,0
1519,13.5,10217,2.78,0
1520,11.0,18519,0.0,0
1521,13.1,13058,1.67,0
1522,12.6,6310,3.47,0
1523,13.9,10802,3.59,0
1524,11.5,3252,0.36,0
1525,12.8,1583,2.04,0
1526,13.2,2359,3.57,0
1527,8.9,9157,3.2,0
1528,10.7,4616,0.52,0
1529,8.5,10535,0.07,0
1530,13.6,2158,0.27,0
1531,10.4,18115,4.03,0
1532,10.7,17812,4.11,0
1533,13.2,3404,4.09,0
1534,9.8,12961,3.52,0
1535,13.2,13539,3.39,0
1536,11.3,11962,0.77,0
1537,9.4,14769,0.8,0
1538,12.5,1494,0.05,0
1539,11.6,5993,3.2,0
1540,9.8,17194,4.07,0
1541,10.3,8276,0.81,0
1542,8.6,15890,2.04,0
1543,13.5,3465,1.48,0
1544,13.2,12765,3.92,0
1545,10.6,15027,3.76,0
1546,8.7,19579,0.38,0
1547,10.9,12954,0.39,0
1548,9.1,10485,0.8,0
1549,8.9,15612,1.76,0
1550,11.9,18482,4.09,0
1551,13.6,1314,0.76,0
1552,13.9,13652,1.52,0
1553,8.5,9336,3.95,0
1554,11.6,5503,3.35,0
1555,11.9,15856,1.6,0
1556,9.6,18982,2.58,0
1557,11.6,17096,4.07,0
1558,13.1,17606,2.13,0
1559,13.1,19150,3.0,0
1560,11.6,15492,1.45,0
1561,9.6,1215,0.93,0
1562,10.7,17684,4.15,0
1563,11.7,10643,0.3,0
1564,13.2,7027,1.7,0
1565,12.0,13275,0.81,0
1566,9.9,9163,3.29,0
1567,12.8,17789,1.37,0
1568,10.6,6845,0.24,0
1569,9.2,14417,3.78,0
1570,11.1,6369,4.15,0
1571,10.9,12596,2.52,0
1572,9.7,17971,4.08,0
1573,11.8,19571,1.06,0
1574,13.4,14499,2.14,0
1575,9.9,16121,1.51,0
1576,13.5,10512,1.75,0
1577,8.8,4456,3.97,0
1578,10.6,8149,1.43,0
1579,13.9,3039,2.8,0
1580,10.4,19254,2.75,0
1581,9.2,13055,4.14,0
1582,10.7,13952,2.93,0
1583,8.9,3690,1.16,0
1584,13.8,2176,4.07,0
1585,13.9,12952,2.07,0
1586,12.0,13293,2.57,0
1587,9.2,17113,1.29,0
1588,13.1,15896,3.3,0
1589,11.0,18893,1.61,0
1590,11.4,7669,4.05,0
1591,9.0,10825,4.04,0
1592,11.3,8101,0.06,0
1593,10.7,9000,0.12,0
1594,11.0,3759,0.67,0
1595,11.0,15191,4.18,0
1596,12.1,9884,3.07,0
1597,9.4,11584,2.17,0
1598,10.4,19641,2.47,0
1599,11.6,14825,2.72,0
1600,8.6,9085,0.92,0
1601,11.7,10824,3.9,0
1602,11.1,6544,1.77,0
1603,11.1,6310,1.87,0
1604,13.6,2710,3.81,0
1605,11.8,18890,3.17,0
1606,10.3,6708,1.08,0
1607,11.4,5447,3.62,0
1608,9.3,6449,3.08,0
1609,10.2,12960,2.32,0
1610,11.3,17050,0.01,0
1611,9.5,12162,1.43,0
1612,13.9,3589,3.61,0
1613,13.7,13087,0.85,0
1614,12.6,3250,1.58,0
1615,8.6,6625,0.95,0
1616,8.8,12503,3.13,0
1617,11.9,324,0.7,0
1618,13.0,3792,4.13,0
1619,13.5,19676,0.57,0
1620,10.1,3643,4.11,0
1621,12.8,2539,3.9,0
1622,9.5,19391,1.12,0
1623,10.9,14390,3.72,0
1624,10.3,5188,0.97,0
1625,9.3,15041,3.83,0
1626,12.8,2779,2.38,0
1627,11.7,7532,1.83,0
1628,13.9,13189,0.42,0
1629,9.5,12023,3.17,0
1630,8.8,525,3.49,0
1631,11.2,17466,4.05,0
1632,10.4,12361,1.6,0
1633,10.3,10822,1.54,0
1634,8.5,1342,2.41,0
1635,10.6,4631,4.17,0
1636,8.5,13215,1.26,0
1637,11.5,2033,2.52,0
1638,8.8,1386,2.55,0
1639,12.0,16801,1.63,0
1640,9.5,14382,1.7,0
1641,11.0,1801,1.22,0
1642,8.6,17285,0.52,0
1643,9.9,16128,1.07,0
1644,10.9,3982,3.16,0
1645,13.3,13093,1.79,0
1646,11.9,1220,3.96,0
1647,9.0,10931,0.53,0
1648,12.2,5989,1.19,0
1649,8.8,3132,1.96,0
1650,10.1,6729,0.86,0
1651,13.3,4609,1.09,0
1652,9.9,9048,1.13,0
1653,8.9,9534,3.99,0
1654,9.0,13156,2.69,0
1655,8.8,13507,3.43,0
1656,11.4,11395,4.03,0
1657,11.3,12360,3.73,0
1658,10.5,18849,2.28,0
1659,10.2,2598,1.64,0
1660,11.3,16675,3.36,0
1661,12.7,2341,0.69,0
1662,11.5,6841,1.42,0
1663,11.3,4984,4.16,0
1664,9.7,5478,4.18,0
1665,9.7,13214,1.41,0
1666,12.2,18839,3.3,0
1667,10.0,13128,0.27,0
1668,11.0,15607,3.53,0
1669,10.1,323,3.93,0
1670,9.3,9863,2.0,0
1671,12.1,9902,0.54,0
1672,13.3,3357,1.79,0
1673,11.7,2420,0.65,0
1674,11.1,16908,0.23,0
1675,11.7,5096,0.87,0
1676,9.6,6893,2.37,0
1677,8.5,13269,3.84,0
1678,10.5,16638,1.29,0
1679,8.5,17715,4.0,0
1680,10.1,5544,1.03,0
1681,10.9,5457,0.34,0
1682,12.8,13486,1.88,0
1683,13.1,7617,2.63,0
1684,13.1,8282,2.85,0
1685,8.6,2113,3.55,0
1686,13.9,10483,3.24,0
1687,13.2,19178,3.97,0
1688,13.5,15907,2.78,0
1689,10.7,15204,0.27,0
1690,13.5,12913,2.55,0
1691,12.2,16392,1.63,0
1692,9.9,1081,3.89,0
1693,10.9,10273,3.45,0
1694,9.5,17210,2.3,0
1695,10.1,12419,2.93,0
1696,9.0,17236,0.15,0
1697,11.3,16309,2.1,0
1698,13.7,10789,0.27,0
1699,11.6,17449,1.1,0
1700,10.9,7817,1.0,0
1701,10.8,17647,2.61,0
1702,12.7,8236,3.14,0
1703,13.9,13856,4.02,0
1704,10.1,5346,3.16,0
1705,12.5,13216,3.18,0
1706,12.0,10463,1.23,0
1707,13.7,15641,0.71,0
1708,13.1,2654,0.14,0
1709,10.5,4771,4.13,0
1710,9.6,8144,0.26,0
1711,9.0,14565,3.76,0
1712,11.2,2807,3.76,0
1713,10.2,6680,1.18,0
1714,12.4,16338,0.36,0
1715,10.8,7244,3.65,0
1716,10.6,13475,1.43,0
1717,13.6,2361,2.7,0
1718,9.0,13452,0.92,0
1719,9.7,17977,2.32,0
1720,13.7,19759,2.93,0
1721,8.5,1820,0.22,0
1722,9.1,7764,2.72,0
1723,11.4,9055,0.37,0
1724,8.7,6356,2.82,0
1725,11.1,1952,0.41,0
1726,10.7,19271,3.08,0
1727,9.5,1438,0.59,0
1728,13.2,665,2.48,0
1729,10.8,4508,1.39,0
1730,11.2,10932,3.41,0
1731,12.1,7986,3.06,0
1732,13.7,1787,3.93,0
1733,13.4,2653,2.44,0
1734,8.7,11399,1.53,0
1735,13.5,8833,4.01,0
1736,9.2,13087,2.41,0
1737,13.1,9291,3.16,0
1738,9.2,6244,0.18,0
1739,8.9,10943,1.38,0
1740,8.5,11822,2.06,0
1741,9.2,18643,2.6,0
1742,12.6,5158,3.12,0
1743,8.6,18649,0.82,0
1744,8.6,17524,2.3,0
1745,13.1,19535,3.08,0
1746,8.7,8068,2.14,0
1747,8.6,18704,2.5,0
1748,12.5,19746,2.7,0
1749,13.4,8460,1.86,0
1750,11.0,13745,1.17,0
1751,13.6,6065,3.27,0
1752,13.9,4542,3.28,0
1753,9.7,10158,1.68,0
1754,13.4,19450,1.58,0
1755,12.8,5801,0.28,0
1756,13.7,14322,1.13,0
1757,12.3,19598,0.96,0
1758,9.4,1079,2.05,0
1759,12.8,4857,4.1,0
1760,12.7,7719,0.37,0
1761,12.7,16854,0.24,0
1762,12.7,4477,2.87,0
1763,9.4,18651,1.45,0
1764,10.7,19555,2.17,0
1765,8.6,1515,1.66,0
1766,12.9,15714,2.25,0
1767,12.1,18366,1.95,0
1768,9.7,16429,3.67,0
1769,9.4,7207,0.49,0
1770,8.9,14998,2.98,0
1771,9.4,14696,0.03,0
1772,9.9,17850,3.45,0
1773,10.3,6220,1.23,0
1774,9.0,13944,3.14,0
1775,11.7,5380,3.26,0
1776,13.1,6022,0.49,0
1777,9.3,17503,4.15,0
1778,10.6,1128,2.77,0
1779,11.7,2388,0.57,0
1780,12.6,11612,1.87,0
1781,8.6,8507,0.43,0
1782,11.5,15964,3.21,0
1783,12.2,18881,2.37,0
1784,13.4,10220,1.62,0
1785,13.3,15657,1.81,0
1786,9.6,2022,1.22,0
1787,12.3,9969,2.02,0
1788,9.2,7389,2.66,0
1789,8.9,3896,3.06,0
1790,10.4,4615,3.21,0
1791,9.7,3219,2.47,0
1792,9.8,16589,3.75,0
1793,8.9,8599,2.25,0
1794,10.6,10089,0.48,0
1795,8.5,4350,4.02,0
1796,12.4,14680,3.85,0
1797,8.5,4362,2.19,0
1798,9.7,1798,3.97,0
1799,11.9,3324,1.1,0
1800,13.2,13631,3.53,0
1801,13.6,8274,1.58,0
1802,9.7,14438,3.27,0
1803,9.5,10069,1.04,0
1804,13.7,12619,2.26,0
1805,11.2,8890,1.66,0
1806,13.7,18503,0.64,0
1807,11.2,6244,2.22,0
1808,10.1,17580,2.07,0
1809,13.0,15005,1.87,0
1810,13.9,12658,1.06,0
1811,12.1,9366,4.17,0
